code	lc	product_name_cs	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_pt	generic_name_en	generic_name_es	generic_name_fr	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_en	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_cs	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_pt	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	energy-kcal_prepared_value	energy-kcal_prepared_unit	fat_value	fat_unit	fat_prepared_value	fat_prepared_unit	saturated-fat_value	saturated-fat_unit	saturated-fat_prepared_value	saturated-fat_prepared_unit	carbohydrates_value	carbohydrates_unit	carbohydrates_prepared_value	carbohydrates_prepared_unit	sugars_value	sugars_unit	sugars_prepared_value	sugars_prepared_unit	fiber_value	fiber_unit	fiber_prepared_value	fiber_prepared_unit	proteins_value	proteins_unit	proteins_prepared_value	proteins_prepared_unit	salt_value	salt_unit	salt_prepared_value	salt_prepared_unit	sodium_value	sodium_unit	sodium_prepared_value	sodium_prepared_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	energy_prepared_value	energy_prepared_unit	arachidic-acid_value	arachidic-acid_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	alpha-linolenic-acid_value	alpha-linolenic-acid_unit	arachidonic-acid_value	arachidonic-acid_unit	trans-fat_value	trans-fat_unit	trans-fat_prepared_value	trans-fat_prepared_unit	cholesterol_value	cholesterol_unit	cholesterol_prepared_value	cholesterol_prepared_unit	added-sugars_value	added-sugars_unit	added-sugars_prepared_value	added-sugars_prepared_unit	polyols_value	polyols_unit	soluble-fiber_value	soluble-fiber_unit	vitamin-a_value	vitamin-a_unit	vitamin-a_prepared_value	vitamin-a_prepared_unit	vitamin-d_value	vitamin-d_unit	vitamin-d_prepared_value	vitamin-d_prepared_unit	vitamin-e_value	vitamin-e_unit	vitamin-c_value	vitamin-c_unit	vitamin-b1_value	vitamin-b1_unit	vitamin-b2_value	vitamin-b2_unit	vitamin-pp_value	vitamin-pp_unit	vitamin-b6_value	vitamin-b6_unit	vitamin-b9_value	vitamin-b9_unit	folates_value	folates_unit	vitamin-b12_value	vitamin-b12_unit	pantothenic-acid_value	pantothenic-acid_unit	potassium_value	potassium_unit	potassium_prepared_value	potassium_prepared_unit	calcium_value	calcium_unit	calcium_prepared_value	calcium_prepared_unit	iron_value	iron_unit	iron_prepared_value	iron_prepared_unit	cocoa_value	cocoa_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	packaging_4_number_of_units	packaging_4_shape	packaging_4_material	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
4056489156192	fr	"Hořká čokoláda s pekanovými ořechy a kokosem"	Way To Go Zartbitterschokolade Pecan Kokos	Coconut Pecan Dark Chocolate Bar		Way to go Pecan Coconut					180 g	30 g	Papier, Fsc	en:paper,fr:fsc	Fin Carré,Way to Go,Lidl	fin-carre,way-to-go,lidl		"Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats noirs, Chocolat noir minimum 51 % cacao"	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:dark-chocolates,fr:chocolat-noir-minimum-51-cacao	Commerce équitable, Végétarien, Fairtrade International, Sans arômes artificiels, Végétalien, en:FSC, FSC Mix, Fabriqué en Allemagne	en:fair-trade,en:vegetarian,en:fairtrade-international,en:no-artificial-flavors,en:vegan,en:fsc,en:fsc-mix,en:made-in-germany	"Belgique, République tchèque, France, Allemagne, Pays-Bas, États-Unis"	en:belgium,en:czech-republic,en:france,en:germany,en:netherlands,en:united-states	Lidl	lidl	0		Ghana	en:ghana		Germany	germany			"Cukr, kakaová hmota, kakaové máslo, 7,5% pekanové ořechy, 5% strouhaný kokos, emulgátor: slunečnicový lecitin."	Zucker, Kakaomasse, Kakaobutter, 7,5% _Pecannüsse_, 5% Kokosraspeln, Emulgator: Lecithine (Sonnenblume).	SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, PECANS, COCONUT FLAKES, SUNFLOWER LECITHIN.		"Sucre, pâte de cacao, beurre de cacao, 7,5% NOIX DE PÉCAN, 5% noix de coco, émulsifiant: lécithines (tournesol)"		"Fruits à coque"	en:nuts	"Œufs, Gluten, Fruits à coque"	en:eggs,en:gluten,en:nuts		serving	100g			170	kcal			11	g			6	g			16	g			13	g			2	g			2	g			0	mg			0	mg					170	kcal													0	g			0	mg			12	g											0	µg																							120	mg			10	mg			2.1	mg			51	g																		en:chocolate-products	en:sugary-snacks,en:chocolate-products	4	en:4-ultra-processed-food-and-drink-products	e	21	d	25	1	31080	-5	-15	1	10								App - yuka, Apps, App - Open Food Facts, App - Speisekammer, App - InFood
0079200558338	en			Nerds Candy - Rainbow							141.7 g	15g	Box, Card-unknown	en:box,en:card-unknown	Nestlé,Nerds	nestle,nerds	Sunmark	Snacks, Sweet snacks, Confectioneries, Candies	en:snacks,en:sweet-snacks,en:confectioneries,en:candies	No artificial flavors, Contains GMOs	en:no-artificial-flavors,en:contains-gmos	France, Switzerland, United Kingdom, United States	en:france,en:switzerland,en:united-kingdom,en:united-states			0					United States	united-states					DEXTROSE, SUGAR, MALIC ACID, 2% OR LESS OF CORN SYRUP, NATURAL FLAVORS, CARNAUBA WAX, COLOR ADDED, CARMINE COLOR, BLUE 1 LAKE, BLUE 1, BLUE 2 LAKE, RED 40 LAKE, YELLOW 5 LAKE, YELLOW 5, YELLOW 6, GUM ACACIA.		Dextrose, sucre, régulateur d'acidité : E296, moins de 2% de : sirop de maïs, arômes naturels, agent de glaçage E903, colorants : E120 - E133 - E132 - E129 - E102 - E110				Eggs	en:eggs		serving	100g			60	kcal			0	g			0	g			14	g			14	g			0	g			0	g			0	g			0	g					60	kcal													0	g			0	mg			14	g											0	µg																							0	mg			0	mg			0	mg						en:unknown		en:recycle														en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	d	14	c	47		31003	-5	-10	0	0		2019-01-06T00:00:00Z	Candy	LI	667508	2019-01-06T00:00:00Z	2019-12-06T00:00:00Z	Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, database-usda, App - Horizon, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts
0040000001607	en			Original Skittles							2.17 oz	61.5 g			Skittles	skittles		Snacks, Sweet snacks, Confectioneries, Candies	en:snacks,en:sweet-snacks,en:confectioneries,en:candies	No gluten, Vegetarian, Vegan	en:no-gluten,en:vegetarian,en:vegan	United States	en:united-states	Sheetz	sheetz	0											MADE OF: SUGAR, CORN SYRUP, HYDROGENATED PALM KERNEL OIL, CITRIC ACID, TAPIOCA DEXTRIN, MODIFIED CORN STARCH, NATURAL AND ARTIFICIAL FLAVORS, COLORS (RED 40 LAKE, YELLOW 5 LAKE, BLUE 2 LAKE, YELLOW 6 LAKE, TITANIUM DIOXIDE, BLUE 1 LAKE, YELLOW 6, YELLOW 5, BLUE 1), SODIUM CITRATE, CARNAUBA WAX.									serving	100g			250	kcal			2.5	g			2.5	g			56	g			45	g							0	g			25	mg			10	mg					250	kcal																					45	g																																																																		en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	e	19	d	32	1	31003	-5	-15	1	0	-10							App - yuka, Apps, App - InFood, App - IsVe
0853522000306	en			Semi-Sweet Mini Chips				Mini Chocolate Chips			10 oz	1 Tbsp (15 g)			Enjoy Life,Enjoy Life Natural Brands  Llc	enjoy-life,enjoy-life-natural-brands-llc	Enjoy Life Natural Brands, LLC	Snacks, Sweet snacks, Cocoa and its products, Chocolates, Baking decorations	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:baking-decorations	No gluten	en:no-gluten	United States	en:united-states	Safeway	safeway	0											cane sugar, unsweetened chocolate, cocoa butter.									serving	100g			80	kcal			5	g			3	g			9	g			7	g			1	g			1	g			0	mg			0	mg					80	kcal													0	g			0	mg			7	g											0	µg																							60	mg			0	mg			0	mg																						en:chocolate-products	en:sugary-snacks,en:chocolate-products	3	en:3-processed-foods	e	21	unknown		1		-5	-15	1	0		2019-07-17T00:00:00Z	Baking Decorations & Dessert Toppings	LI	667414	2019-07-17T00:00:00Z	2019-12-06T00:00:00Z	Databases, database-usda, Database - USDA NDB, App - InFood, Apps, App - smoothie-openfoodfacts
0013409451328	en			Barbecue Sauce (Original)							40 OZ (2 LB 8 OZ)	2 Tbsp (36 g)	Pet-bottle	en:pet-bottle	Sweet Baby Ray's	sweet-baby-ray-s	Sweet Baby Rays Inc.	Condiments, Sauces, Barbecue sauces	en:condiments,en:sauces,en:barbecue-sauces	No gluten	en:no-gluten	United States	en:united-states			0											HIGH FRUCTOSE CORN SYRUP, DISTILLED VINEGAR, TOMATO PASTE, MODIFIED CORN STARCH, CONTAINS LESS THAN 2% OF SALT, PINEAPPLE JUICE CONCENTRATE, NATURAL SMOKE FLAVOR SPICE, CARAMEL COLOR, MOLASSES, SODIUM BENZOATE (PRESERVATIVE), GARLIC, MUSTARD FLOUR CORN SYRUP, SUGAR, TAMARIND, NATURAL FLAVOR, CELERY SEED. *DRIED.				Celery	en:celery				serving	100g			70	kcal			0	g			0	g			18	g			17	g			0	g			0	g			725	mg			290	mg					70	kcal													0	g			0	mg			16	g											0	% DV																							0	µg			0	% DV			0	% DV																						en:dressings-and-sauces	en:fats-and-sauces,en:dressings-and-sauces	4	en:4-ultra-processed-food-and-drink-products	e	20	b	67	1	11100	-5	-15	1	0		2018-01-31T00:00:00Z	Ketchup, Mustard, BBQ & Cheese Sauce	LI	406374	2018-01-31T00:00:00Z	2019-04-01T00:00:00Z	Databases, database-usda, App - Horizon, App - InFood, Apps, Database - USDA NDB, App - Speisekammer, App - Yuka
0044000053710	en			Oreos				Chocolate sandwich cookies			723 g	3 COOKIES (34 g)			Mondelez,Nabisco	mondelez,nabisco	Nabisco Biscuit Company	Snacks, Sweet snacks, Biscuits and cakes, Biscuits	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits	Vegetarian, Vegan, Cocoa Life	en:vegetarian,en:vegan,en:cocoa-life	United States	en:united-states	Aldi	aldi	0											UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID), SUGAR, PALM OIL, SOYBEAN OIL, CANOLA OIL, COCOA (PROCESSED WITH ALKALI), HIGH FRUCTOSE CORN SYRUP, LEAVENING (BAKING SODA, CALCIUM PHOSPHATE), SALT, SOY LECITHIN, CHOCOLATE, ARTIFICIAL FLAVOR.				Gluten, Soybeans	en:gluten,en:soybeans				serving	100g			160	kcal			7	g			2	g			25	g			14	g			1	g			1	g			325	mg			130	mg					160	kcal													0	g			0	mg			14	g											0	µg																							50	mg			10	mg			1.4	mg																						en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes	4	en:4-ultra-processed-food-and-drink-products	e	20	d	39	1	24000	-5	-15	1	0	-10	2019-08-22T00:00:00Z	Cookies & Biscuits	LI	738122	2019-08-22T00:00:00Z	2019-12-06T00:00:00Z	Databases, database-usda
0041420048548	en			Rainbow Gummy Clusters							8 oz	30 g			Nerds,Ferrara Candy Company	nerds,ferrara-candy-company		Snacks, Sweet snacks, Confectioneries, Candies	en:snacks,en:sweet-snacks,en:confectioneries,en:candies			United States	en:united-states			0											DEXTROSE, SUGAR, CORN SYRUP, GELATIN, MODIFIED CORN STARCH, MALIC ACID, CITRIC ACID, SODIUM CITRATE, APPLE JUICE CONCENTRATE, ACACIA (GUM ARABIC), NATURAL AND ARTIFICIAL FLAVORS, CARNAUBA WAX, COLOR ADDED, RED 40, YELLOW 5, RED 40 LAKE, YELLOW 5 LAKE, BLUE 2 LAKE, YELLOW 6, CARMINE (COLOR), BLUE 1, BLUE 1 LAKE.				Gelatin	en:gelatin	Eggs, Gluten, Milk, Nuts, Peanuts, Soybeans	en:eggs,en:gluten,en:milk,en:nuts,en:peanuts,en:soybeans		serving	100g			100	kcal			0	g			0	g			25	g			21	g			0	g			1	g			112.5	mg			45	mg					100	kcal													0	g			0	mg			21	g											0	µg																							0	mg			0	mg			0	mg																						en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	d	15	c	42	1	31003	-5	-15	1	0								App - yuka, Apps, App - InFood
0079200060688	en			Very Berry Gummy Clusters							8 oz	30 g			Nerds	nerds		Snacks, Sweet snacks, Confectioneries, Candies	en:snacks,en:sweet-snacks,en:confectioneries,en:candies			United States	en:united-states	Sheetz	sheetz	0											CORN SYRUP, SUGAR, DEXTROSE, GELATIN, MODIFIED FOOD STARCH, WATER, MALIC ACID (DL-MALIC ACID), CITRIC ACID, SODIUM CITRATE, APPLE JUICE CONCENTRATE, GUM ARABIC, NATURAL AND ARTIFICIAL FLAVORS, CARNAUBA WAX, COLOR ADDED, BLUE 1, RED 40, RED 40 LAKE, BLUE 2 LAKE, CARMINE (COLOR), BLUE 1 LAKE, YELLOW 5 LAKE.				Gelatin	en:gelatin	Eggs, Gluten, Milk, Nuts, Peanuts, Soybeans	en:eggs,en:gluten,en:milk,en:nuts,en:peanuts,en:soybeans		serving	100g			100	kcal			0	g			0	g			24	g			21	g			0	g			1	g			112.5	mg			45	mg					100	kcal													0	g			0	mg			21	g											0	µg																							0	mg			0	mg			0	mg																						en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	d	15	c	42	1	31003	-5	-15	1	0								App - yuka, Apps, App - IsVe
0009800800056	en			Nutella & Go! with Breadsticks		Nutella & Go					1.8 OZ (52 g)	1 UNIT (52 g)			Nutella	nutella	Ferrero U.S.A., Incorporated	"Snacks, Breakfasts, Spreads, Sweet snacks, Sweet spreads, Biscuits and cakes, fr:Pâtes à tartiner, Hazelnut spreads, Chocolate spreads, Cocoa and hazelnuts spreads"	en:snacks,en:breakfasts,en:spreads,en:sweet-snacks,en:sweet-spreads,en:biscuits-and-cakes,fr:pates-a-tartiner,en:hazelnut-spreads,en:chocolate-spreads,en:cocoa-and-hazelnuts-spreads	Made in Italy	en:made-in-italy	France, United States	en:france,en:united-states	CostCo	costco	0				Made in Canada							NUTELLA (SUGAR, PALM OIL, HAZELNUTS, SKIM MILK, COCOA, LECITHIN AS EMULSIFIER, VANILLIN: AN ARTIFICIAL FLAVOR), BREADSTICKS (ENRICHED FLOUR (WHEAT FLOUR, NIACIN, IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), PALM OIL, SALT, MALT EXTRACT, BAKER'S YEAST).				Gluten, Milk, Nuts, Soybeans	en:gluten,en:milk,en:nuts,en:soybeans				serving	100g			260	kcal			13	g			4.5	g			34	g			23	g			2	g			4	g			325	mg			130	mg					260	kcal													0	g			5	mg			20	g											0	µg																							190	mg			50	mg			1	mg																						en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes	4	en:4-ultra-processed-food-and-drink-products	e	21	d	20	1	31032	-5	-15	1	0	-10	2018-02-16T00:00:00Z	Crackers & Biscotti	LI	406517	2018-02-16T00:00:00Z	2019-04-01T00:00:00Z	Database - USDA NDB, Databases, App - yuka, Apps, database-usda, App - InFood, App - smoothie-openfoodfacts
0031200006783	en			The Original Dried Cranberries							48 oz	0.25 cup (40 g)			Ocean Spray	ocean-spray	Ocean Spray Cranberries, Inc.	Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Snacks, Fruits based foods, Dried products, Dried plant-based foods, Dried fruits, Dried cranberries	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:snacks,en:fruits-based-foods,en:dried-products,en:dried-plant-based-foods,en:dried-fruits,en:dried-cranberries	No artificial flavors	en:no-artificial-flavors	United States	en:united-states			0											Dried Cranberries (sugar, cranberries), refined sunflower oil.									serving	100g			130	kcal			0	g			0	g			33	g			29	g			3	g			0	g			0	mg			0	mg					130	kcal													0	g			0	mg			26	g											0	µg																							0	mg			0	mg			0	mg																						en:dried-fruits	en:fruits-and-vegetables,en:dried-fruits	3	en:3-processed-foods	c	7	unknown		1		-5	-15	1	0		2018-08-10T00:00:00Z	Wholesome Snacks	LI	628470	2018-08-10T00:00:00Z	2019-12-06T00:00:00Z	Databases, database-usda, Database - USDA NDB
0088702015652	en			Rasberry Preserves							13 oz	1 Tbsp (20 g)	Glass, Jar	en:glass,en:jar	Bonne Maman	bonne-maman	ANDROS	Plant-based foods and beverages, Plant-based foods, Breakfasts, Spreads, Plant-based spreads, Sweet spreads, Fruit and vegetable preserves, Jams, Berry jams, Raspberry preserve	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:berry-jams,en:raspberry-preserve	No gluten, No GMOs, Non GMO project	en:no-gluten,en:no-gmos,en:non-gmo-project	United States	en:united-states	Safeway	safeway	0				Product of France							RASPBERRIES, SUGAR, BROWN CANE SUGAR, CONCENTRATED LEMON JUICE, FRUIT PECTIN.									serving	100g			50	kcal			0	g			0	g			13	g			12	g			0	g			0	g			0	mg			0	mg					50	kcal													0	g			0	mg			12	g											0	µg																							0	mg			0	mg			0	mg					1	en:jar	en:glass			1	en:lid	en:metal										en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	d	11	b	71		31024	-5	-4	0	0		2018-04-30T00:00:00Z	Jam, Jelly & Fruit Spreads	LI	374777	2018-04-30T00:00:00Z	2019-04-01T00:00:00Z	Databases, database-usda, Database - USDA NDB
0894455000254	en			Dark Chocolate Peanut Butter Cups							1.4 oz	1 PACKAGE (40 g)			Justin's	justin-s	Justin's, LLC	Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Peanut butter cups	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:peanut-butter-cups	No gluten, Organic, No GMOs, USDA Organic, Non GMO project, Rainforest Alliance	en:no-gluten,en:organic,en:no-gmos,en:usda-organic,en:non-gmo-project,en:rainforest-alliance	France, United States	en:france,en:united-states			0											ORGANIC DARK CHOCOLATE (ORGANIC EVAPORATED CANE SUGAR, ORGANIC CACAO BEANS, ORGANIC COCOA BUTTER, ORGANIC SOYA LECITHIN (EMULSIFIER)), ORGANIC PEANUT BUTTER (ORGANIC GROUND PEANUTS, ORGANIC CANE SUGAR, ORGANIC PEANUT FLOUR, ORGANIC PALM OIL, SEA SALT, ORGANIC SUNFLOWER LECITHIN.				Peanuts, Soybeans	en:peanuts,en:soybeans	Milk, Nuts	en:milk,en:nuts		serving	100g			220	kcal			14	g			7	g			20	g			16	g			1	g			4	g			300	mg			120	mg					220	kcal													0	g			0	mg			16	g											0	% DV																							2	% DV			0	% DV			2	% DV																						en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	e	25	unknown		1		-5	-15	1	10	-10	2019-10-25T00:00:00Z	Candy	LI	630400	2019-10-25T00:00:00Z	2019-12-06T00:00:00Z	App - yuka, Apps, Databases, database-usda, Database - USDA NDB, App - InFood, App - smoothie-openfoodfacts
4099100118599	en			Concord Grape Jelly							30 oz	20 g			Berryhill,Aldi	berryhill,aldi		Plant-based foods and beverages, Plant-based foods, Breakfasts, Spreads, Plant-based spreads, Sweet spreads, Fruit and vegetable preserves, Jams, Grape jams	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:grape-jams			United States	en:united-states	Aldi	aldi	0											CONCORD GRAPES, CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, FRUIT PECTIN, CITRIC ACID, SODIUM CITRATE.									serving	100g			50	kcal			0	g			0	g			13	g			10	g			0	g			0	g			0	g			0	g					50	kcal													0	g			0	mg			9	g											0	µg																							0	mg			0	mg			0	mg																						en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	d	12	b	60	1	31024	-5	-15	1	0								App - yuka, Apps, App - InFood
0028000514037	en			Chocolate Nesquik							38 oz	13 g			Nesquik,Nestle	nesquik,nestle		Cocoa and its products, Cocoa and chocolate powders, Chocolate milk powder	en:cocoa-and-its-products,en:cocoa-and-chocolate-powders,en:chocolate-milk-powder	No artificial flavors, Rainforest Alliance	en:no-artificial-flavors,en:rainforest-alliance	United States	en:united-states			0											sugar, cocoa processed with alkali, less than 2% of: soy lecithin, carrageenan, salt, natural flavor, spice.				Soybeans	en:soybeans	Gluten, Milk	en:gluten,en:milk		serving	serving			50	kcal	150	kcal	0	g	2.5	g	0	g	1.5	g	12	g	24	g	10	g	22	g	1	g	1	g	0	g	9	g	62.5	mg	337.5	mg	25	mg	135	mg			50	kcal	150	kcal											0	g	0	g	0	mg	10	mg	10	g	10	g					0	µg	140	µg	0	µg	2.9	µg																					70	mg	440	mg	0	mg	300	mg	0.2	mg	0.2	mg																						4	en:4-ultra-processed-food-and-drink-products	e	35	e	14	1	18167	-5	-15	1	10								App - yuka, Apps, App - InFood, App - smoothie-openfoodfacts
0044000060237	en			Oreos							1 lb 2.12 oz	34 g			Nabisco	nabisco		Snacks, Sweet snacks, Biscuits and cakes, Biscuits	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits			United States	en:united-states	Safeway	safeway	0											unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid), sugar, palm oil, soybean and/or canola oil, cocoa (processed with alkali), high fructose corn syrup, leavening (baking soda and/or calcium phosphate), salt, soy lecithin, chocolate, artificial flavor.				Gluten, Soybeans	en:gluten,en:soybeans				serving	100g			160	kcal			7	g			2	g			25	g			14	g			1	g			1	g			325	mg			130	mg					160	kcal													0	g			0	mg			14	g											0	µg																							50	mg			10	mg			1.4	mg																						en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes	4	en:4-ultra-processed-food-and-drink-products	e	20	d	39	1	24000	-5	-15	1	0	-10							App - InFood, Apps, App - Waistline, App - smoothie-openfoodfacts
03444009	en			Peanut Butter Cups				Milk Chocolate Peanut Butter Cups			2 pieces, 1.5 oz	42g	Plastic, Wrapper	en:plastic,en:wrapper	Mars,Reese's	mars,reese-s	REESE'S	Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Bars, Chocolate candies, Bonbons, Bars covered with chocolate, Peanut butter cups	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:bars,en:chocolate-candies,en:bonbons,en:bars-covered-with-chocolate,en:peanut-butter-cups	No gluten, Kosher, Contains GMOs	en:no-gluten,en:kosher,en:contains-gmos	France, Germany, United States	en:france,en:germany,en:united-states	Super U	super-u	0					USA	usa					milk chocolate (sugar, cocoa butter, chocolate, skim milk, milk fat, lactose, lecithin (soy), pgpr), peanuts, sugar, dextrose, salt, tbhq, citric acid.				Milk, Peanuts, Soybeans	en:milk,en:peanuts,en:soybeans				serving	100g			210	kcal			12	g			4.5	g			24	g			22	g			2	g			5	g			0	g			0	g					210	kcal													0	mg			5	mg			20	g											0	% DV																											4	% DV			6	% DV																					https://www.hersheys.com/reeses/en_us/products/reeses-peanut-butter-cups.html	en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes	4	en:4-ultra-processed-food-and-drink-products	e	21	unknown		1		-5	-15	1	0		2018-01-19T00:00:00Z	Candy	LI	502854	2018-01-19T00:00:00Z	2019-04-01T00:00:00Z	Databases, database-usda, App - InFood, App - Speisekammer, Apps, App - Waistline, App - Open Food Facts, App - smoothie-openfoodfacts
